k,holdout,distance_f,normalization,accuracy
1,0.8,euclidean_distance,False,86%
3,0.8,euclidean_distance,False,86%
5,0.8,euclidean_distance,False,88%
7,0.8,euclidean_distance,False,89%
53,0.8,euclidean_distance,False,91%
101,0.8,euclidean_distance,False,89%
285,0.8,euclidean_distance,False,81%
1,0.8,manhattan_distance,False,92%
3,0.8,manhattan_distance,False,97%
5,0.8,manhattan_distance,False,96%
7,0.8,manhattan_distance,False,96%
53,0.8,manhattan_distance,False,92%
101,0.8,manhattan_distance,False,91%
285,0.8,manhattan_distance,False,82%
1,0.8,euclidean_distance,True,96%
3,0.8,euclidean_distance,True,96%
5,0.8,euclidean_distance,True,96%
7,0.8,euclidean_distance,True,96%
53,0.8,euclidean_distance,True,93%
101,0.8,euclidean_distance,True,91%
285,0.8,euclidean_distance,True,81%
1,0.8,manhattan_distance,True,91%
3,0.8,manhattan_distance,True,93%
5,0.8,manhattan_distance,True,96%
7,0.8,manhattan_distance,True,94%
53,0.8,manhattan_distance,True,93%
101,0.8,manhattan_distance,True,92%
285,0.8,manhattan_distance,True,80%
